time_s,dist_m,vel_ms,accel_ms2
0.0000,0.0000,0.0081,0.0299
0.0112,0.0001,0.0075,0.0281
0.0223,0.0002,0.0047,0.0263
0.0335,0.0002,0.0039,0.0246
0.0447,0.0003,0.0048,0.0228
0.0559,0.0003,0.0033,0.0210
0.0670,0.0003,0.0042,0.0192
0.0782,0.0004,0.0054,0.0174
0.0894,0.0005,0.0051,0.0157
0.1005,0.0005,0.0066,0.0139
0.1117,0.0006,0.0101,0.0121
0.1229,0.0007,0.0141,0.0103
0.1341,0.0009,0.0161,0.0085
0.1452,0.0011,0.0181,0.0067
0.1564,0.0013,0.0204,0.0050
0.1676,0.0016,0.0198,0.0032
0.1788,0.0018,0.0177,0.0014
0.1899,0.0019,0.0149,-0.0004
0.2011,0.0021,0.0130,-0.0022
0.2123,0.0022,0.0140,-0.0043
0.2234,0.0024,0.0156,-0.0063
0.2346,0.0026,0.0146,-0.0084
0.2458,0.0027,0.0127,-0.0105
0.2570,0.0029,0.0123,-0.0126
0.2681,0.0030,0.0108,-0.0146
0.2793,0.0031,0.0101,-0.0167
0.2905,0.0032,0.0101,-0.0188
0.3016,0.0033,0.0109,-0.0209
0.3128,0.0035,0.0138,-0.0229
0.3240,0.0036,0.0139,-0.0250
0.3352,0.0038,0.0140,-0.0271
0.3463,0.0040,0.0143,-0.0292
0.3575,0.0041,0.0122,-0.0312
0.3687,0.0042,0.0123,-0.0333
0.3798,0.0044,0.0121,-0.0354
0.3910,0.0045,0.0101,-0.0375
0.4022,0.0046,0.0076,-0.0395
0.4134,0.0047,0.0051,-0.0410
0.4245,0.0047,0.0041,-0.0425
0.4357,0.0048,0.0026,-0.0440
0.4469,0.0048,0.0019,-0.0455
0.4581,0.0048,0.0021,-0.0470
0.4692,0.0048,0.0006,-0.0485
0.4804,0.0048,-0.0002,-0.0500
0.4916,0.0048,0.0002,-0.0515
0.5027,0.0048,-0.0003,-0.0530
0.5139,0.0048,-0.0020,-0.0545
0.5251,0.0048,-0.0018,-0.0560
0.5363,0.0048,-0.0001,-0.0575
0.5474,0.0048,0.0001,-0.0590
0.5586,0.0048,-0.0003,-0.0605
0.5698,0.0048,-0.0020,-0.0620
0.5809,0.0047,-0.0018,-0.0635
0.5921,0.0047,-0.0000,-0.0650
0.6033,0.0047,0.0000,-0.0665
0.6145,0.0047,-0.0000,-0.0658
0.6256,0.0047,0.0001,-0.0650
0.6368,0.0047,-0.0001,-0.0642
0.6480,0.0047,0.0001,-0.0635
0.6591,0.0047,-0.0002,-0.0627
0.6703,0.0047,-0.0023,-0.0620
0.6815,0.0047,-0.0044,-0.0612
0.6927,0.0046,-0.0068,-0.0604
0.7038,0.0045,-0.0094,-0.0597
0.7150,0.0044,-0.0099,-0.0589
0.7262,0.0043,-0.0120,-0.0581
0.7374,0.0041,-0.0148,-0.0574
0.7485,0.0040,-0.0147,-0.0566
0.7597,0.0038,-0.0161,-0.0558
0.7709,0.0036,-0.0181,-0.0551
0.7820,0.0034,-0.0197,-0.0543
0.7932,0.0032,-0.0219,-0.0535
0.8044,0.0029,-0.0210,-0.0528
0.8156,0.0027,-0.0207,-0.0492
0.8267,0.0025,-0.0234,-0.0456
0.8379,0.0022,-0.0247,-0.0420
0.8491,0.0019,-0.0243,-0.0385
0.8602,0.0016,-0.0248,-0.0349
0.8714,0.0014,-0.0276,-0.0313
0.8826,0.0010,-0.0285,-0.0277
0.8938,0.0007,-0.0255,-0.0241
0.9049,0.0005,-0.0243,-0.0206
0.9161,0.0002,-0.0246,-0.0170
0.9273,-0.0001,-0.0227,-0.0134
0.9384,-0.0003,-0.0209,-0.0098
0.9496,-0.0006,-0.0209,-0.0063
0.9608,-0.0008,-0.0219,-0.0027
0.9720,-0.0010,-0.0235,0.0009
0.9831,-0.0013,-0.0247,0.0045
0.9943,-0.0016,-0.0260,0.0081
1.0055,-0.0019,-0.0270,0.0116
1.0167,-0.0022,-0.0257,0.0115
1.0278,-0.0025,-0.0244,0.0114
1.0390,-0.0027,-0.0237,0.0112
1.0502,-0.0030,-0.0224,0.0111
1.0613,-0.0032,-0.0226,0.0110
1.0725,-0.0035,-0.0231,0.0109
1.0837,-0.0038,-0.0220,0.0107
1.0949,-0.0040,-0.0203,0.0106
1.1060,-0.0042,-0.0182,0.0105
1.1172,-0.0044,-0.0160,0.0103
1.1284,-0.0046,-0.0139,0.0102
1.1395,-0.0047,-0.0129,0.0101
1.1507,-0.0049,-0.0116,0.0100
1.1619,-0.0050,-0.0091,0.0098
1.1731,-0.0051,-0.0081,0.0097
1.1842,-0.0052,-0.0084,0.0096
1.1954,-0.0053,-0.0090,0.0095
1.2066,-0.0054,-0.0100,0.0093
1.2177,-0.0055,-0.0123,0.0086
1.2289,-0.0056,-0.0144,0.0079
1.2401,-0.0058,-0.0141,0.0071
1.2513,-0.0060,-0.0148,0.0064
1.2624,-0.0061,-0.0163,0.0057
1.2736,-0.0063,-0.0168,0.0050
1.2848,-0.0065,-0.0171,0.0042
1.2960,-0.0067,-0.0174,0.0035
1.3071,-0.0069,-0.0203,0.0028
1.3183,-0.0072,-0.0237,0.0021
1.3295,-0.0074,-0.0255,0.0013
1.3406,-0.0077,-0.0279,0.0006
1.3518,-0.0080,-0.0286,-0.0001
1.3630,-0.0084,-0.0281,-0.0008
1.3742,-0.0087,-0.0274,-0.0016
1.3853,-0.0090,-0.0243,-0.0023
1.3965,-0.0092,-0.0210,-0.0030
1.4077,-0.0094,-0.0185,-0.0037
1.4188,-0.0096,-0.0179,-0.0025
1.4300,-0.0098,-0.0180,-0.0013
1.4412,-0.0100,-0.0169,-0.0001
1.4524,-0.0102,-0.0161,0.0011
1.4635,-0.0104,-0.0146,0.0023
1.4747,-0.0105,-0.0124,0.0035
1.4859,-0.0107,-0.0123,0.0047
1.4970,-0.0108,-0.0136,0.0059
1.5082,-0.0110,-0.0137,0.0071
1.5194,-0.0111,-0.0136,0.0083
1.5306,-0.0113,-0.0147,0.0095
1.5417,-0.0115,-0.0136,0.0107
1.5529,-0.0116,-0.0129,0.0119
1.5641,-0.0117,-0.0140,0.0131
1.5753,-0.0119,-0.0141,0.0143
1.5864,-0.0121,-0.0156,0.0155
1.5976,-0.0122,-0.0172,0.0167
1.6088,-0.0124,-0.0174,0.0179
1.6199,-0.0126,-0.0186,0.0187
1.6311,-0.0129,-0.0200,0.0195
1.6423,-0.0131,-0.0200,0.0203
1.6535,-0.0133,-0.0201,0.0211
1.6646,-0.0135,-0.0206,0.0219
1.6758,-0.0138,-0.0193,0.0227
1.6870,-0.0140,-0.0180,0.0235
1.6981,-0.0142,-0.0169,0.0243
1.7093,-0.0143,-0.0149,0.0251
1.7205,-0.0145,-0.0148,0.0259
1.7317,-0.0147,-0.0145,0.0267
1.7428,-0.0148,-0.0134,0.0275
1.7540,-0.0150,-0.0148,0.0283
1.7652,-0.0151,-0.0164,0.0291
1.7763,-0.0153,-0.0169,0.0299
1.7875,-0.0155,-0.0173,0.0307
1.7987,-0.0157,-0.0170,0.0315
1.8099,-0.0159,-0.0162,0.0323
1.8210,-0.0161,-0.0146,0.0325
