time_s,dist_m,vel_ms,accel_ms2
0.0000,-0.0000,0.5876,0.0542
0.0200,0.0129,0.5652,0.0543
0.0400,0.0289,0.5435,0.0548
0.0600,0.0455,0.5227,0.0557
0.0800,0.0584,0.5034,0.0571
0.1000,0.0685,0.4860,0.0590
0.1200,0.0779,0.4714,0.0615
0.1400,0.0872,0.4603,0.0644
0.1600,0.0965,0.4535,0.0679
0.1800,0.1046,0.4517,0.0720
0.2000,0.1111,0.4552,0.0766
0.2200,0.1168,0.4638,0.0818
0.2400,0.1229,0.4773,0.0875
0.2600,0.1303,0.4946,0.0938
0.2800,0.1401,0.5149,0.1006
0.3000,0.1535,0.5367,0.1080
0.3200,0.1714,0.5588,0.1160
0.3400,0.1884,0.5802,0.1244
0.3600,0.2014,0.5998,0.1334
0.3800,0.2117,0.6167,0.1429
0.4000,0.2209,0.6305,0.1529
0.4200,0.2310,0.6405,0.1633
0.4400,0.2416,0.6463,0.1741
0.4600,0.2523,0.6477,0.1854
0.4800,0.2637,0.6444,0.1971
0.5000,0.2754,0.6364,0.2090
0.5200,0.2901,0.6240,0.2214
0.5400,0.3082,0.6077,0.2340
0.5600,0.3253,0.5886,0.2468
0.5800,0.3381,0.5680,0.2599
0.6000,0.3485,0.5475,0.2731
0.6200,0.3578,0.5287,0.2864
0.6400,0.3673,0.5134,0.2998
0.6600,0.3770,0.5030,0.3133
0.6800,0.3863,0.4986,0.3268
0.7000,0.3948,0.5005,0.3402
0.7200,0.4028,0.5087,0.3535
0.7400,0.4103,0.5226,0.3666
0.7600,0.4180,0.5409,0.3796
0.7800,0.4263,0.5620,0.3923
0.8000,0.4374,0.5843,0.4047
0.8200,0.4525,0.6059,0.4168
0.8400,0.4700,0.6255,0.4285
0.8600,0.4866,0.6422,0.4397
0.8800,0.5042,0.6554,0.4505
0.9000,0.5211,0.6653,0.4607
0.9200,0.5332,0.6726,0.4704
0.9400,0.5434,0.6780,0.4794
0.9600,0.5523,0.6826,0.4878
0.9800,0.5619,0.6872,0.4955
1.0000,0.5730,0.6924,0.5025
1.0200,0.5863,0.6987,0.5087
1.0400,0.6006,0.7062,0.5142
1.0600,0.6146,0.7145,0.5188
1.0800,0.6296,0.7236,0.5225
1.1000,0.6480,0.7331,0.5254
1.1200,0.6666,0.7428,0.5274
1.1400,0.6819,0.7527,0.5285
1.1600,0.6952,0.7630,0.5287
1.1800,0.7087,0.7743,0.5280
1.2000,0.7257,0.7871,0.5263
1.2200,0.7442,0.8022,0.5237
1.2400,0.7607,0.8204,0.5202
1.2600,0.7776,0.8423,0.5157
1.2800,0.7947,0.8684,0.5103
1.3000,0.8101,0.8987,0.5040
1.3200,0.8248,0.9332,0.4968
1.3400,0.8399,0.9709,0.4888
1.3600,0.8579,1.0109,0.4798
1.3800,0.8804,1.0517,0.4701
1.4000,0.9024,1.0917,0.4596
1.4200,0.9282,1.1292,0.4483
1.4400,0.9538,1.1627,0.4363
1.4600,0.9762,1.1906,0.4236
1.4800,1.0034,1.2120,0.4103
1.5000,1.0290,1.2261,0.3963
1.5200,1.0509,1.2324,0.3818
1.5400,1.0739,1.2309,0.3669
1.5600,1.0946,1.2217,0.3514
1.5800,1.1151,1.2053,0.3356
1.6000,1.1425,1.1826,0.3194
1.6200,1.1694,1.1547,0.3029
1.6400,1.1944,1.1229,0.2862
1.6600,1.2202,1.0891,0.2694
1.6800,1.2412,1.0551,0.2524
1.7000,1.2602,1.0228,0.2353
1.7200,1.2810,0.9942,0.2182
1.7400,1.3008,0.9710,0.2012
1.7600,1.3183,0.9546,0.1843
1.7800,1.3365,0.9459,0.1676
1.8000,1.3556,0.9455,0.1511
1.8200,1.3728,0.9533,0.1349
1.8400,1.3902,0.9688,0.1190
1.8600,1.4108,0.9911,0.1035
1.8800,1.4318,1.0188,0.0884
1.9000,1.4499,1.0506,0.0739
1.9200,1.4688,1.0848,0.0599
1.9400,1.4910,1.1200,0.0464
1.9600,1.5124,1.1551,0.0336
1.9800,1.5369,1.1894,0.0215
2.0000,1.5702,1.2226,0.0101
2.0200,1.5982,1.2549,-0.0006
2.0400,1.6268,1.2871,-0.0105
2.0600,1.6519,1.3199,-0.0195
2.0800,1.6770,1.3544,-0.0277
2.1000,1.7069,1.3911,-0.0351
2.1200,1.7332,1.4300,-0.0415
2.1400,1.7602,1.4704,-0.0470
2.1600,1.7858,1.5104,-0.0516
2.1800,1.8111,1.5471,-0.0553
2.2000,1.8406,1.5767,-0.0581
2.2200,1.8663,1.5946,-0.0599
2.2400,1.8914,1.5956,-0.0608
2.2600,1.9162,1.5750,-0.0607
2.2800,1.9431,1.5289,-0.0598
2.3000,1.9803,1.4548,-0.0580
2.3200,2.0192,1.3522,-0.0553
2.3400,2.0627,1.2232,-0.0519
2.3600,2.1073,1.0724,-0.0476
2.3800,2.1353,0.9069,-0.0426
2.4000,2.1431,0.7353,-0.0369
2.4200,2.1431,0.5676,-0.0306
2.4400,2.1431,0.4137,-0.0236
2.4600,2.1431,0.2825,-0.0161
2.4800,2.1431,0.1815,-0.0082
2.5000,2.1431,0.1160,0.0002
2.5200,2.1431,0.0886,0.0089
2.5400,2.1431,0.0997,0.0180
2.5600,2.1431,0.1468,0.0272
2.5800,2.1451,0.2256,0.0366
2.6000,2.1512,0.3303,0.0461
2.6200,2.1602,0.4537,0.0556
2.6400,2.1744,0.5887,0.0651
2.6600,2.1930,0.7282,0.0745
2.6800,2.2134,0.8657,0.0838
2.7000,2.2387,0.9962,0.0928
2.7200,2.2670,1.1156,0.1016
2.7400,2.2890,1.2213,0.1102
2.7600,2.3108,1.3121,0.1184
2.7800,2.3323,1.3876,0.1263
2.8000,2.3522,1.4484,0.1337
2.8200,2.3787,1.4954,0.1408
2.8400,2.4102,1.5302,0.1474
2.8600,2.4439,1.5545,0.1536
2.8800,2.4806,1.5700,0.1593
2.9000,2.5190,1.5783,0.1646
2.9200,2.5472,1.5810,0.1694
2.9400,2.5751,1.5793,0.1737
2.9600,2.6008,1.5740,0.1776
2.9800,2.6280,1.5653,0.1810
3.0000,2.6609,1.5529,0.1840
3.0200,2.6932,1.5359,0.1866
3.0400,2.7238,1.5133,0.1888
3.0600,2.7528,1.4838,0.1907
3.0800,2.7781,1.4460,0.1922
3.1000,2.8062,1.3992,0.1933
3.1200,2.8301,1.3430,0.1942
3.1400,2.8532,1.2781,0.1948
3.1600,2.8787,1.2062,0.1951
3.1800,2.9058,1.1304,0.1953
3.2000,2.9434,1.0548,0.1953
3.2200,2.9819,0.9849,0.1951
3.2400,3.0171,0.9266,0.1948
3.2600,3.0332,0.8856,0.1944
3.2800,3.0366,0.8672,0.1940
3.3000,3.0370,0.8750,0.1935
3.3200,3.0374,0.9102,0.1930
3.3400,3.0416,0.9716,0.1926
3.3600,3.0621,1.0556,0.1921
3.3800,3.0888,1.1561,0.1918
3.4000,3.1136,1.2655,0.1915
3.4200,3.1417,1.3753,0.1914
3.4400,3.1722,1.4770,0.1914
3.4600,3.2075,1.5629,0.1915
3.4800,3.2478,1.6270,0.1918
3.5000,3.2885,1.6655,0.1923
3.5200,3.3259,1.6769,0.1930
3.5400,3.3691,1.6620,0.1939
3.5600,3.4082,1.6239,0.1950
3.5800,3.4444,1.5675,0.1963
3.6000,3.4749,1.4982,0.1978
3.6200,3.4941,1.4219,0.1996
3.6400,3.5028,1.3438,0.2016
3.6600,3.5131,1.2679,0.2037
3.6800,3.5296,1.1970,0.2061
3.7000,3.5489,1.1323,0.2086
3.7200,3.5685,1.0739,0.2113
3.7400,3.5923,1.0211,0.2142
3.7600,3.6267,0.9732,0.2172
3.7800,3.6672,0.9300,0.2203
3.8000,3.7031,0.8918,0.2235
3.8200,3.7212,0.8599,0.2268
3.8400,3.7300,0.8363,0.2300
3.8600,3.7389,0.8234,0.2333
3.8800,3.7472,0.8237,0.2366
3.9000,3.7573,0.8392,0.2398
3.9200,3.7771,0.8712,0.2429
3.9400,3.7972,0.9201,0.2460
3.9600,3.8157,0.9851,0.2488
3.9800,3.8351,1.0643,0.2515
4.0000,3.8549,1.1549,0.2541
4.0200,3.8742,1.2530,0.2563
4.0400,3.9008,1.3541,0.2584
4.0600,3.9319,1.4535,0.2602
4.0800,3.9624,1.5464,0.2616
4.1000,3.9957,1.6284,0.2628
4.1200,4.0291,1.6958,0.2637
4.1400,4.0688,1.7458,0.2642
4.1600,4.1038,1.7765,0.2643
4.1800,4.1380,1.7876,0.2641
4.2000,4.1736,1.7795,0.2635
4.2200,4.2105,1.7541,0.2625
4.2400,4.2449,1.7138,0.2611
4.2600,4.2760,1.6620,0.2594
4.2800,4.3063,1.6024,0.2572
4.3000,4.3396,1.5389,0.2547
4.3200,4.3683,1.4753,0.2518
4.3400,4.3936,1.4151,0.2484
4.3600,4.4167,1.3613,0.2447
4.3800,4.4397,1.3164,0.2406
4.4000,4.4680,1.2822,0.2361
4.4200,4.4950,1.2600,0.2313
4.4400,4.5264,1.2504,0.2261
4.4600,4.5590,1.2537,0.2206
4.4800,4.5922,1.2695,0.2147
4.5000,4.6129,1.2971,0.2085
4.5200,4.6271,1.3350,0.2020
4.5400,4.6501,1.3814,0.1952
4.5600,4.6764,1.4338,0.1881
4.5800,4.7019,1.4893,0.1808
4.6000,4.7337,1.5449,0.1732
4.6200,4.7686,1.5973,0.1654
4.6400,4.8040,1.6438,0.1574
4.6600,4.8384,1.6818,0.1492
4.6800,4.8771,1.7095,0.1409
4.7000,4.9127,1.7259,0.1324
4.7200,4.9495,1.7308,0.1238
4.7400,4.9829,1.7245,0.1151
4.7600,5.0151,1.7084,0.1063
4.7800,5.0455,1.6839,0.0974
4.8000,5.0803,1.6533,0.0885
4.8200,5.1141,1.6187,0.0796
4.8400,5.1506,1.5824,0.0707
4.8600,5.1788,1.5467,0.0619
4.8800,5.2082,1.5133,0.0530
4.9000,5.2328,1.4838,0.0443
4.9200,5.2568,1.4591,0.0356
4.9400,5.2831,1.4396,0.0271
4.9600,5.3115,1.4252,0.0186
4.9800,5.3379,1.4154,0.0103
5.0000,5.3677,1.4095,0.0021
5.0200,5.3964,1.4066,-0.0059
5.0400,5.4301,1.4058,-0.0137
5.0600,5.4612,1.4068,-0.0214
5.0800,5.4923,1.4092,-0.0288
5.1000,5.5220,1.4131,-0.0360
5.1200,5.5485,1.4190,-0.0431
5.1400,5.5794,1.4272,-0.0499
5.1600,5.6067,1.4383,-0.0564
5.1800,5.6356,1.4527,-0.0627
5.2000,5.6632,1.4706,-0.0688
5.2200,5.6898,1.4918,-0.0746
5.2400,5.7205,1.5157,-0.0801
5.2600,5.7491,1.5414,-0.0854
5.2800,5.7802,1.5677,-0.0905
5.3000,5.8088,1.5931,-0.0952
5.3200,5.8422,1.6161,-0.0997
5.3400,5.8749,1.6353,-0.1039
5.3600,5.9087,1.6495,-0.1078
5.3800,5.9423,1.6579,-0.1115
5.4000,5.9809,1.6602,-0.1148
5.4200,6.0202,1.6566,-0.1180
5.4400,6.0603,1.6476,-0.1208
5.4600,6.0911,1.6340,-0.1234
5.4800,6.1150,1.6166,-0.1257
5.5000,6.1396,1.5963,-0.1278
5.5200,6.1698,1.5733,-0.1296
5.5400,6.1985,1.5477,-0.1312
