time_s,dist_m,vel_ms,accel_ms2
0.0000,-0.0000,-0.0022,-0.0363
0.0112,-0.0000,-0.0028,-0.0341
0.0223,-0.0001,-0.0031,-0.0320
0.0335,-0.0001,-0.0032,-0.0299
0.0446,-0.0001,-0.0040,-0.0277
0.0558,-0.0002,-0.0039,-0.0256
0.0670,-0.0002,-0.0033,-0.0235
0.0781,-0.0003,-0.0025,-0.0213
0.0893,-0.0003,-0.0030,-0.0192
0.1004,-0.0003,-0.0055,-0.0170
0.1116,-0.0004,-0.0070,-0.0149
0.1228,-0.0005,-0.0086,-0.0128
0.1339,-0.0006,-0.0112,-0.0106
0.1451,-0.0007,-0.0123,-0.0085
0.1562,-0.0009,-0.0124,-0.0064
0.1674,-0.0010,-0.0109,-0.0042
0.1786,-0.0011,-0.0100,-0.0021
0.1897,-0.0012,-0.0116,0.0000
0.2009,-0.0014,-0.0127,0.0022
0.2120,-0.0015,-0.0141,0.0035
0.2232,-0.0017,-0.0143,0.0049
0.2344,-0.0018,-0.0121,0.0062
0.2455,-0.0020,-0.0104,0.0076
0.2567,-0.0021,-0.0089,0.0089
0.2678,-0.0022,-0.0078,0.0102
0.2790,-0.0022,-0.0073,0.0116
0.2902,-0.0023,-0.0065,0.0129
0.3013,-0.0024,-0.0052,0.0143
0.3125,-0.0024,-0.0038,0.0156
0.3236,-0.0025,-0.0030,0.0170
0.3348,-0.0025,-0.0018,0.0183
0.3460,-0.0025,0.0000,0.0197
0.3571,-0.0025,-0.0002,0.0210
0.3683,-0.0025,-0.0020,0.0224
0.3794,-0.0025,-0.0018,0.0237
0.3906,-0.0026,-0.0001,0.0251
0.4018,-0.0025,0.0001,0.0264
0.4129,-0.0025,-0.0001,0.0252
0.4241,-0.0025,0.0002,0.0239
0.4352,-0.0025,-0.0007,0.0227
0.4464,-0.0026,-0.0009,0.0214
0.4576,-0.0026,0.0008,0.0202
0.4687,-0.0025,0.0008,0.0189
0.4799,-0.0025,-0.0001,0.0177
0.4910,-0.0025,0.0001,0.0164
0.5022,-0.0025,-0.0000,0.0152
0.5134,-0.0025,-0.0000,0.0140
0.5245,-0.0025,0.0000,0.0127
0.5357,-0.0025,-0.0001,0.0115
0.5468,-0.0025,0.0001,0.0102
0.5580,-0.0025,-0.0001,0.0090
0.5692,-0.0025,0.0001,0.0077
0.5803,-0.0025,-0.0001,0.0065
0.5915,-0.0026,0.0004,0.0052
0.6026,-0.0025,0.0021,0.0040
0.6138,-0.0025,0.0016,0.0039
0.6250,-0.0025,0.0001,0.0038
0.6361,-0.0025,-0.0002,0.0036
0.6473,-0.0025,0.0010,0.0035
0.6584,-0.0025,0.0023,0.0034
0.6696,-0.0025,0.0010,0.0033
0.6808,-0.0025,-0.0002,0.0032
0.6919,-0.0025,0.0001,0.0031
0.7031,-0.0025,-0.0000,0.0030
0.7142,-0.0025,-0.0000,0.0029
0.7254,-0.0025,0.0001,0.0027
0.7366,-0.0025,-0.0001,0.0026
0.7477,-0.0025,0.0001,0.0025
0.7589,-0.0025,-0.0001,0.0024
0.7700,-0.0025,0.0005,0.0023
0.7812,-0.0024,0.0023,0.0022
0.7924,-0.0024,0.0014,0.0021
0.8035,-0.0024,0.0011,0.0020
0.8147,-0.0024,0.0023,0.0019
0.8258,-0.0024,0.0009,0.0018
0.8370,-0.0024,-0.0002,0.0017
0.8482,-0.0024,0.0001,0.0016
0.8593,-0.0024,-0.0000,0.0015
0.8705,-0.0024,-0.0000,0.0014
0.8816,-0.0024,0.0001,0.0013
0.8928,-0.0024,-0.0001,0.0012
0.9040,-0.0024,0.0005,0.0011
0.9151,-0.0024,0.0022,0.0010
0.9263,-0.0023,0.0015,0.0009
0.9374,-0.0023,0.0006,0.0009
0.9486,-0.0023,0.0019,0.0008
0.9598,-0.0023,0.0014,0.0007
0.9709,-0.0023,0.0002,0.0006
0.9821,-0.0023,-0.0001,0.0005
0.9932,-0.0023,0.0004,0.0004
1.0044,-0.0023,0.0027,0.0003
1.0156,-0.0022,0.0048,-0.0002
1.0267,-0.0022,0.0042,-0.0007
1.0379,-0.0021,0.0034,-0.0013
1.0490,-0.0021,0.0041,-0.0018
1.0602,-0.0020,0.0037,-0.0023
1.0714,-0.0020,0.0013,-0.0028
1.0825,-0.0020,-0.0000,-0.0033
1.0937,-0.0020,-0.0000,-0.0039
1.1048,-0.0020,-0.0000,-0.0044
1.1160,-0.0020,-0.0000,-0.0049
1.1272,-0.0020,-0.0000,-0.0054
1.1383,-0.0020,-0.0000,-0.0059
1.1495,-0.0020,0.0000,-0.0065
1.1606,-0.0020,0.0000,-0.0070
1.1718,-0.0020,-0.0000,-0.0075
1.1830,-0.0020,0.0000,-0.0080
1.1941,-0.0020,-0.0000,-0.0085
1.2053,-0.0020,-0.0000,-0.0091
1.2164,-0.0020,0.0000,-0.0091
1.2276,-0.0020,-0.0000,-0.0090
1.2388,-0.0020,0.0000,-0.0090
1.2499,-0.0020,-0.0000,-0.0090
1.2611,-0.0020,0.0000,-0.0090
1.2722,-0.0020,-0.0000,-0.0090
