timestamp_us,angle_counts,magnet_ok
100700,280,1
104608,280,1
108472,280,1
112180,280,1
115892,280,1
119592,280,1
123300,280,1
127008,280,1
130716,279,1
134424,278,1
138128,277,1
141836,275,1
145544,274,1
149252,272,1
152960,271,1
156664,270,1
160372,270,1
164080,269,1
167784,268,1
171496,268,1
175204,268,1
178912,268,1
182620,268,1
186320,268,1
190028,268,1
193740,268,1
197444,268,1
201152,268,1
204860,269,1
208568,270,1
212276,270,1
215980,271,1
219688,272,1
223400,273,1
227104,274,1
230812,274,1
234520,274,1
238228,275,1
241936,275,1
245640,276,1
249352,277,1
253060,277,1
256772,277,1
260480,277,1
264180,277,1
267888,277,1
271596,277,1
275296,277,1
279004,277,1
282712,277,1
286420,277,1
290128,277,1
293832,277,1
297540,277,1
301248,277,1
304952,277,1
308660,277,1
312368,277,1
316080,277,1
319788,277,1
323492,277,1
327200,277,1
330908,277,1
334612,277,1
338320,277,1
342032,277,1
345740,277,1
349448,277,1
353148,277,1
356856,277,1
360564,277,1
364272,277,1
367980,277,1
371684,277,1
375392,277,1
379100,277,1
382800,277,1
386508,277,1
390216,277,1
393924,277,1
397632,277,1
401332,277,1
405040,277,1
408748,277,1
412448,277,1
416156,277,1
419864,277,1
423576,277,1
427284,277,1
430984,277,1
434692,277,1
438400,277,1
442108,277,1
445820,277,1
449524,277,1
453232,277,1
456940,277,1
460644,277,1
464352,277,1
468064,277,1
471772,277,1
475480,277,1
479184,277,1
482892,277,1
486600,277,1
490300,277,1
494008,277,1
497720,277,1
501432,277,1
505144,277,1
508848,277,1
512556,277,1
516264,277,1
519968,277,1
523676,277,1
527384,277,1
531092,277,1
534800,277,1
538500,277,1
542208,277,1
545920,277,1
549628,277,1
553336,277,1
557040,277,1
560748,277,1
564456,277,1
568160,277,1
571868,277,1
575576,277,1
579284,277,1
582996,277,1
586700,277,1
590408,277,1
594116,277,1
597816,277,1
601524,277,1
605232,277,1
608940,277,1
612648,277,1
616352,277,1
620060,277,1
623768,277,1
627468,277,1
631176,277,1
634876,277,1
638584,277,1
642292,277,1
645992,277,1
649700,277,1
653408,277,1
657116,277,1
660824,277,1
664528,277,1
668236,277,1
671944,277,1
675648,277,1
679360,277,1
683068,277,1
686776,277,1
690484,277,1
694184,277,1
697892,277,1
701600,277,1
705300,277,1
709008,277,1
712716,277,1
716424,277,1
720132,277,1
723836,277,1
727544,277,1
731252,277,1
734960,277,1
738668,277,1
742368,278,1
746076,281,1
749784,284,1
753484,287,1
757192,289,1
760900,289,1
764612,289,1
768320,289,1
772024,289,1
775732,289,1
779444,289,1
783148,289,1
786856,289,1
790568,289,1
794276,289,1
797984,289,1
801684,289,1
805396,289,1
809108,289,1
812820,289,1
816528,289,1
820236,289,1
823944,289,1
827652,289,1
831356,289,1
835064,289,1
838772,289,1
842480,289,1
846188,289,1
849892,289,1
853600,289,1
857308,289,1
861008,289,1
864720,289,1
868428,289,1
872140,289,1
875848,289,1
879552,289,1
883260,289,1
886968,289,1
890668,289,1
894376,289,1
898084,289,1
901792,289,1
905500,289,1
909204,289,1
912912,289,1
916620,289,1
920328,289,1
924036,289,1
927740,289,1
931448,289,1
935156,289,1
938860,289,1
942568,289,1
946280,289,1
949988,289,1
953696,289,1
957400,289,1
961112,289,1
964824,289,1
968528,289,1
972236,289,1
975944,289,1
979652,289,1
983360,289,1
987064,289,1
990772,289,1
994480,289,1
998184,289,1
1001892,289,1
1005608,289,1
1009328,289,1
1013044,289,1
1016756,289,1
1020476,289,1
1024192,289,1
1027900,289,1
1031616,289,1
1035336,289,1
1039056,289,1
1042772,289,1
1046484,289,1
1050200,289,1
1053916,289,1
1057624,289,1
1061340,289,1
1065056,289,1
1068772,289,1
1072492,289,1
